memory,time,conversation_index,question,answer_actual,answer_received,similarity_string,similarity_semantic,similarity,cpu_edge_ns,cpu_cloud_ns,ram_edge_bytes,ram_cloud_bytes,disk_edge_bytes,disk_cloud_bytes,network_edge_bytes,network_cloud_bytes,openai_tokens,openai_cost_usd,api_latency_s,metric_window_s,toxic_latency,toxic_jitter,toxic_bandwidth,toxic_slow_close,toxic_timeout,toxic_slicer,toxic_limit_data,toxic_reset_peer
graphiti,1763691026.5841694,0,When did Caroline go to the LGBTQ support group?,7 May 2023,"Caroline went to the LGBTQ support group on May 7, 2023.",0.2727272727272727,0.40714994072914124,0.33993860672820697,6937050425310.756,626960778500.8992,68816812441.59999,140970138897.06686,15245927719.6984,444113381.3739335,230349154.6174161,573096132.3966542,639,0.0017004000000000001,120.72203612327576,120,0,0,0,0,0,0,0,0
graphiti,1763691081.4182675,0,When did Melanie paint a sunrise?,2022,"Melanie painted a sunrise last year, relative to the timestamp of the memory, which is 2023. Therefore, she painted it in 2022.",0.061068702290076333,0.446911484003067,0.25399009314657167,31678323713.746178,7031620175.084956,40761899144.533325,18870089591.466663,5692515.778399422,17554.285714285714,22991.67356957484,0.0,648,0.00184278,15.244125127792358,15,0,0,0,0,0,0,0,0
graphiti,1763691137.1394637,0,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification","Based on the given memories, Caroline would be likely to pursue fields related to counseling and mental health in her education.",0.3170731707317073,0.48253965377807617,0.3998064122548918,51321985329.719765,13133754623.06282,43393538560.0,20051144704.0,69921.38173344635,157293.3925266125,16170.173058351333,26555329.072963167,800,0.00214298,16.404667139053345,16,0,0,0,0,0,0,0,0
graphiti,1763691191.5842872,0,What did Caroline research?,Adoption agencies,I don't know based on the given memories.,0.41379310344827586,0.045285310596227646,0.22953920702225175,36543393613.40066,7485632870.854912,40832339148.8,18838999040.000004,140441.81041282509,210650.1753208099,20332.517962598944,0.0,636,0.0016452,13.641501665115356,15,0,0,0,0,0,0,0,0
graphiti,1763691246.0631866,0,What is Caroline's identity?,Transgender woman,"Caroline's identity includes being part of the trans community, as she has shared her journey and struggles, including coming out and giving a voice to the trans community.",0.14814814814814814,0.4896702766418457,0.3189092123949969,43893261519.4878,11290056525.320337,40883926630.39999,18853649066.666676,92157.80587100922,228206.96879021046,28886.097982797146,15844138.84799045,1001,0.00273524,14.389474391937256,15,0,0,0,0,0,0,0,0
graphiti,1763691301.0908778,0,When did Melanie run a charity race?,The sunday before 25 May 2023,"Melanie ran a charity race for mental health on the Saturday before May 25, 2023. This would be May 20, 2023.",0.4057971014492754,0.4510425925254822,0.4284198469873788,32549972836.261086,7748823247.901844,40936054510.933334,18859687936.0,184316.23890470387,122877.49260313588,17924.63423593108,0.0,788,0.00219032,15.647745370864868,15,0,0,0,0,0,0,0,0
graphiti,1763691355.6346943,0,When is Melanie planning on going camping?,June 2023,I don't know based on the given memories.,0.12,0.12206930667161942,0.1210346533358097,31948525248.64523,9913644140.782457,40939064524.799995,18897208115.2,2492747.76417243,35108.57142857143,17481.428571428572,12936079.285714285,782,0.0020028199999999998,15.119320631027222,15,0,0,0,0,0,0,0,0
graphiti,1763691410.0489724,0,What is Caroline's relationship status?,Single,I don't know based on the given memories.,0.1702127659574468,0.02163027599453926,0.09592152097599303,39381039201.64086,7837152549.481932,40940491844.26667,18893518711.466667,307250.16406000464,39499.023807823,17987.936850973907,0.0,739,0.0018977800000000002,14.461814165115356,15,0,0,0,0,0,0,0,0
graphiti,1763691465.2498481,0,When did Caroline give a speech at a school?,The week before 9 June 2023,I don't know based on the given memories.,0.2647058823529412,0.02068336494266987,0.14269462364780552,17905875350.65245,7979399074.926712,40923716266.66667,18877634696.533337,65837.97685383627,118490.48836477657,9170.595799399915,6722414.2734676385,901,0.0022953999999999995,15.738283634185791,15,0,0,0,0,0,0,0,0
graphiti,1763691522.4803731,0,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,"Caroline met up with her friends, family, and mentors in the week before June 9, 2023.",0.4424778761061947,0.4304061532020569,0.4364420146541258,55869397634.88613,9621760151.416521,46059835392.0,21240350840.470592,274185.5213091264,78338.72037403614,23428.938588426332,0.0,904,0.0024055600000000006,17.706971883773804,17,0,0,0,0,0,0,0,0
