memory,time,conversation_index,question,answer_actual,answer_received,similarity_string,similarity_semantic,similarity,cpu_edge_ns,cpu_cloud_ns,ram_edge_bytes,ram_cloud_bytes,disk_edge_bytes,disk_cloud_bytes,network_edge_bytes,network_cloud_bytes,openai_tokens,openai_cost_usd,api_latency_s,metric_window_s,toxic_latency,toxic_jitter,toxic_bandwidth,toxic_slow_close,toxic_timeout,toxic_slicer,toxic_limit_data,toxic_reset_peer
graphiti,1763657350.4342103,0,When did Caroline go to the LGBTQ support group?,7 May 2023,"Caroline went to an LGBTQ support group on May 7, 2023, and on July 19, 2023.",0.20689655172413793,0.445800244808197,0.32634839826616746,7079053418073.965,1953594784409.1367,136695248104.75105,111321455462.61232,5970008085.634532,23544043.39359915,394579.28152578033,75109.1865355935,588,0.0015242500000000002,124.70145034790039,124,200,50,1000,0,0,0,0,0
graphiti,1763657405.2716691,0,When did Melanie paint a sunrise?,2022,I don't know based on the given memories.,0.0,0.1655276119709015,0.08276380598545074,20093873375.532772,49189362395.40301,50734847044.26667,14257714517.333336,2519276.077629411,1312302.933631728,7354.264894984999,65539.0055722246,572,0.0013636800000000001,15.410818099975586,15,200,50,1000,0,0,0,0,0
graphiti,1763657462.1829238,0,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification","Caroline would likely pursue fields related to counseling, mental health, and advocacy in her education, as indicated by her interest in these areas.",0.2810810810810811,0.4763084650039673,0.3786947730425242,51031885270.306816,70369808098.90515,57044182678.58824,16055027832.470585,0.0,913977.4000760721,20774.162327306298,0.0,584,0.00150732,17.528035402297974,17,200,50,1000,0,0,0,0,0
graphiti,1763657516.5800705,0,What did Caroline research?,Adoption agencies,I don't know based on the given memories.,0.41379310344827586,0.045285310596227646,0.22953920702225175,32891635439.402454,47823243556.98277,50751478442.666664,14272857429.333334,26331.428571428572,974324.9394448864,21600.0,84121.07142857143,550,0.0013183,14.83549165725708,15,200,50,1000,0,0,0,0,0
graphiti,1763657571.1150727,0,What is Caroline's identity?,Transgender woman,I don't know based on the given memories.,0.27586206896551724,0.14843808114528656,0.2121500750554019,27750078462.33784,41973789365.985085,50794927718.399994,14274610790.400002,0.0,403805.94803942845,20367.896768234332,0.0,528,0.0012584900000000001,14.86204218864441,15,200,50,1000,0,0,0,0,0
graphiti,1763657625.8396068,0,When did Melanie run a charity race?,The sunday before 25 May 2023,"Melanie ran a charity race for mental health on May 20, 2023.",0.4666666666666667,0.3506375849246979,0.4086521257956823,28353633787.551292,59843544800.26756,50755342336.00001,14283934924.8,8778.396958645375,991874.286296362,14841.40599087383,132132.44816683672,578,0.0014413700000000002,15.17784070968628,15,200,50,1000,0,0,0,0,0
graphiti,1763657680.3198278,0,When is Melanie planning on going camping?,June 2023,I don't know based on the given memories.,0.12,0.12206930667161942,0.1210346533358097,51838413668.20135,61741598022.65563,50787672610.13332,14286448776.533335,0.0,1233307.4021031465,18018.309534209428,0.0,561,0.00133137,15.040031671524048,15,200,50,1000,0,0,0,0,0
graphiti,1763657737.9062827,0,What is Caroline's relationship status?,Single,I don't know based on the given memories.,0.1702127659574468,0.02163027599453926,0.09592152097599303,41649858349.5732,55211436984.332016,57074246113.882355,16077690036.705881,0.0,970540.8910018536,21623.064977692877,196459.7152359217,542,0.0012886800000000002,17.735029697418213,17,200,50,1000,0,0,0,0,0
graphiti,1763657796.032966,0,When did Caroline give a speech at a school?,The week before 9 June 2023,I don't know based on the given memories.,0.2647058823529412,0.02068336494266987,0.14269462364780552,32753727635.306553,61820500133.45637,60166371100.44443,16970467328.0,0.0,789385.8177031358,40135.50335461662,131296.48489078478,580,0.00136925,18.30525851249695,18,200,50,1000,0,0,0,0,0
graphiti,1763657853.5940251,0,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,I don't know based on the given memories.,0.2647058823529412,0.02068336494266987,0.14269462364780552,45264435497.05919,64774552139.20686,60298716501.33335,16972950186.666658,0.0,537832.505154763,25941.023902360554,0.0,609,0.0014225099999999999,18.200990676879883,18,200,50,1000,0,0,0,0,0
