memory,time,conversation_index,question,answer_actual,answer_received,similarity_string,similarity_semantic,similarity,cpu_edge_ns,cpu_cloud_ns,ram_edge_bytes,ram_cloud_bytes,disk_edge_bytes,disk_cloud_bytes,network_edge_bytes,network_cloud_bytes,openai_tokens,openai_cost_usd,api_latency_s,metric_window_s,toxic_latency,toxic_jitter,toxic_bandwidth,toxic_slow_close,toxic_timeout,toxic_slicer,toxic_limit_data,toxic_reset_peer
mem0,1763575894.2979343,0,When did Caroline go to the LGBTQ support group?,7 May 2023,"Caroline went to the LGBTQ support group on May 7, 2023, as she mentioned going to the support group the day before on May 8, 2023.",0.1276595744680851,0.4002552926540375,0.26395743356106127,579380244633.0068,183281473144.53024,21500592128.00002,36437811699.512245,48270120757.574265,3111352.241691892,116281.62971980662,3698726.3200964085,601,0.0016317500000000002,41.313578367233276,41,0,0,0,0,0,0,0,0
mem0,1763575948.6512961,0,When did Melanie paint a sunrise?,2022,I don't know based on the given memories.,0.0,0.1655276119709015,0.08276380598545074,26312531760.42577,31260095612.007015,38117927594.66666,14032295526.399996,798785.8370363786,1382498.7499107078,17541.610115008214,4506.750482177299,542,0.0012886800000000002,12.469021081924438,15,0,0,0,0,0,0,0,0
mem0,1763576002.9908004,0,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",I don't know based on the given memories.,0.2077922077922078,0.06895960867404938,0.1383759082331286,4117817689.370696,30601213378.698055,38234860202.66665,14047357064.533333,0.0,39497.142857142855,5407.775920449525,0.0,554,0.0012898200000000001,14.202539682388306,15,0,0,0,0,0,0,0,0
mem0,1763576057.2039511,0,What did Caroline research?,Adoption agencies,I don't know based on the given memories.,0.41379310344827586,0.045285310596227646,0.22953920702225175,11608996457.082886,27806379245.24595,38047055052.8,14063156701.866667,0.0,118501.77487520955,7160.917077351616,42286.265266766655,545,0.0013058,11.630755424499512,15,0,0,0,0,0,0,0,0
mem0,1763576111.5415833,0,What is Caroline's identity?,Transgender woman,I don't know based on the given memories.,0.27586206896551724,0.14843808114528656,0.2121500750554019,12914148490.441053,27627419412.848797,38219225224.533325,14064701166.933336,0.0,184335.04827730526,15274.467564009672,0.0,532,0.0012684900000000002,11.415303707122803,15,0,0,0,0,0,0,0,0
mem0,1763576165.7244258,0,When did Melanie run a charity race?,The sunday before 25 May 2023,"Melanie ran a charity race for mental health on May 20, 2023. (This is inferred by interpreting ""last Saturday"" from the memory dated May 25, 2023.)",0.23728813559322035,0.43757492303848267,0.3374315293158515,3097371566.017931,32034979254.00332,38286685525.33333,14072762367.999996,0.0,175566.68502662366,0.0,0.0,602,0.00166637,14.732588768005371,15,0,0,0,0,0,0,0,0
mem0,1763576219.9097738,0,When is Melanie planning on going camping?,June 2023,I don't know based on the given memories.,0.12,0.12206930667161942,0.1210346533358097,22473045365.547947,33284682251.671364,38282299801.6,14071006003.2,35114.841980865356,219460.23884657753,10296.124321049632,0.0,582,0.0013838700000000002,11.907610893249512,15,0,0,0,0,0,0,0,0
mem0,1763576274.1873043,0,What is Caroline's relationship status?,Single,I don't know based on the given memories.,0.1702127659574468,0.02163027599453926,0.09592152097599303,4006535289.032689,32958049157.697563,38310209945.6,14079507660.8,0.0,78993.97240163105,0.0,0.0,529,0.00125618,10.862539529800415,15,0,0,0,0,0,0,0,0
mem0,1763576328.5136373,0,When did Caroline give a speech at a school?,The week before 9 June 2023,"Caroline gave a speech at a school the week before June 9, 2023. This is inferred from [2023-06-09] where Caroline shared about a school event last week.",0.2777777777777778,0.46051836013793945,0.3691480689578586,27343583222.470192,30846914052.019745,38319557290.66667,14087205683.200003,0.0,61445.64338957012,7733.20318956809,2355.9592427071534,607,0.00167675,14.390384197235107,15,0,0,0,0,0,0,0,0
mem0,1763576382.8619452,0,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,I don't know based on the given memories.,0.2647058823529412,0.02068336494266987,0.14269462364780552,3426686707.7257414,26474252458.193394,38324003908.26667,14092155289.6,0.0,171174.0379809092,5445.055565193433,0.0,598,0.0013950100000000001,13.263371706008911,15,0,0,0,0,0,0,0,0
mem0,1763576437.119551,0,How long has Caroline had her current group of friends for?,4 years,I don't know based on the given memories.,0.16666666666666666,0.2011244297027588,0.1838955481847127,12186362860.918842,28879951525.157036,38107865088.0,14096309452.8,0.0,96562.3664106783,3865.9904278877066,6109.722123008786,570,0.00133463,13.218652486801147,15,0,0,0,0,0,0,0,0
mem0,1763576491.462427,0,Where did Caroline move from 4 years ago?,Sweden,I don't know based on the given memories.,0.2127659574468085,0.10363901406526566,0.15820248575603707,12386413422.762571,32627344337.019512,38338744320.00001,14101848064.0,0.0,43891.35758568333,12858.796167680663,0.0,549,0.0012917500000000001,12.862324476242065,15,0,0,0,0,0,0,0,0
mem0,1763576546.2595904,0,How long ago was Caroline's 18th birthday?,10 years ago,"Caroline's 18th birthday was ten years ago from June 27, 2023, according to the memory about the hand-painted bowl. Therefore, her 18th birthday was in 2013.",0.1301775147928994,0.23786956071853638,0.1840235377557179,3386010815.542865,29899063592.10057,38348305749.33332,14108900010.666666,0.0,0.0,0.0,0.0,488,0.00138944,15.474189519882202,15,0,0,0,0,0,0,0,0
mem0,1763576600.6178522,0,What career path has Caroline decided to persue?,counseling or mental health for Transgender people,I don't know based on the given memories.,0.26373626373626374,0.04735522344708443,0.15554574359167408,22244583832.159264,29941599557.73288,38343704575.999985,14108016640.000002,0.0,65828.57156291546,12931.403930331506,0.0,560,0.0013192500000000001,13.079185962677002,15,0,0,0,0,0,0,0,0
