memory,time,conversation_index,question,answer_actual,answer_received,similarity_string,similarity_semantic,similarity,cpu_edge_ns,cpu_cloud_ns,ram_edge_bytes,ram_cloud_bytes,disk_edge_bytes,disk_cloud_bytes,network_edge_bytes,network_cloud_bytes,openai_tokens,openai_cost_usd,api_latency_s,metric_window_s,toxic_latency,toxic_jitter,toxic_bandwidth,toxic_slow_close,toxic_timeout,toxic_slicer,toxic_limit_data,toxic_reset_peer
mem0,1763616474.3541768,0,When did Caroline go to the LGBTQ support group?,7 May 2023,"Caroline went to an LGBTQ support group on May 7, 2023, and July 19, 2023, the days before the memories recorded on May 8, 2023, and July 20, 2023, respectively.",0.10526315789473684,0.42069971561431885,0.26298143675452784,2698966305674.759,1041873516883.8883,56655631600.19754,69612902374.71611,38119113423.56148,33197328.433961347,552762.1602687109,39708144.05797909,616,0.0017817500000000001,81.42678308486938,81,200,50,1000,0,0,0,0,0
mem0,1763616528.872224,0,When did Melanie paint a sunrise?,2022,I don't know based on the given memories.,0.0,0.1655276119709015,0.08276380598545074,58441674709.38528,45757325285.198875,41439539200.0,13436765525.333334,614479.0061994321,1316759.5411084855,18141.877466606984,0.0,568,0.00135368,14.491487979888916,15,200,50,1000,0,0,0,0,0
mem0,1763616585.6189103,0,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification","Based on the given memories, Caroline is likely to pursue education in fields related to counseling, mental health, and advocacy, as she has expressed interest in these areas.",0.21800947867298578,0.4402676224708557,0.32913855057192076,7273063311.674168,63070846910.83089,46648037376.00001,15121763147.294115,0.0,1035846.1852834091,5363.01211870346,0.0,589,0.00155732,17.43784236907959,17,200,50,1000,0,0,0,0,0
mem0,1763616640.0813828,0,What did Caroline research?,Adoption agencies,I don't know based on the given memories.,0.41379310344827586,0.045285310596227646,0.22953920702225175,9477746749.324532,38424365839.8274,41541214754.13332,13451411456.0,83394.77068152594,8778.396913844836,2541.791684526361,0.0,552,0.0013233,13.757874727249146,15,200,50,1000,0,0,0,0,0
mem0,1763616694.3123047,0,What is Caroline's identity?,Transgender woman,I don't know based on the given memories.,0.27586206896551724,0.14843808114528656,0.2121500750554019,5211665922.921854,47086302571.94649,41545718442.666664,13462466559.999998,0.0,52661.916801861094,0.0,0.0,539,0.00128599,14.038384914398193,15,200,50,1000,0,0,0,0,0
mem0,1763616748.9009886,0,When did Melanie run a charity race?,The sunday before 25 May 2023,"Melanie ran a charity race for mental health on May 20, 2023. This is calculated from the memory dated May 25, 2023, which states that she ran the race ""last Saturday.""",0.2131979695431472,0.3935416638851166,0.3033698167141319,3386236348.532674,38904695692.45485,41555746816.00001,13469253632.0,0.0,175540.3501042438,0.0,0.0,605,0.00170387,15.175970792770386,15,200,50,1000,0,0,0,0,0
mem0,1763616803.4562814,0,When is Melanie planning on going camping?,June 2023,I don't know based on the given memories.,0.12,0.12206930667161942,0.1210346533358097,7266155734.176883,52883747443.98779,41586917376.0,13470294016.0,0.0,460813.16665476107,3750.107150510751,0.0,571,0.00135637,14.395890951156616,15,200,50,1000,0,0,0,0,0
mem0,1763616857.9146595,0,What is Caroline's relationship status?,Single,I don't know based on the given memories.,0.1702127659574468,0.02163027599453926,0.09592152097599303,71312829934.62752,43402564309.721054,41577993830.4,13476551065.599997,0.0,13165.714285714286,16386.595710742055,0.0,532,0.00126368,14.017384052276611,15,200,50,1000,0,0,0,0,0
mem0,1763616914.2200065,0,When did Caroline give a speech at a school?,The week before 9 June 2023,"Caroline gave a speech at a school event about their transgender journey in early June 2023. The event was ""last week"" from June 9, 2023, indicating the speech took place in the first few days of June 2023.",0.11158798283261803,0.4664357900619507,0.28901188644728437,7137013865.527426,59131803705.8041,44156345856.0,14320404480.0,0.0,61167.51599206658,12834.566913382676,135659.13182636525,624,0.0018017500000000002,16.80782961845398,16,200,50,1000,0,0,0,0,0
mem0,1763616970.9836447,0,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,I don't know based on the given memories.,0.2647058823529412,0.02068336494266987,0.14269462364780552,22733352422.30943,59518997733.88035,46752951597.17647,15168454656.000004,0.0,104452.89678215941,5207.226375289909,0.0,602,0.00140501,17.323930978775024,17,200,50,1000,0,0,0,0,0
